iter	Passed	Remaining
289	485	1188
290	487	1186
291	488	1184
292	490	1182
293	491	1180
294	493	1179
295	495	1177
296	496	1175
297	498	1173
298	499	1172
299	501	1171
300	503	1169
301	504	1166
302	506	1164
303	508	1163
304	509	1161
305	511	1159
306	513	1159
307	515	1157
308	517	1156
309	518	1154
310	520	1152
311	521	1150
312	523	1148
313	525	1147
314	526	1145
315	528	1143
316	529	1141
317	531	1139
318	533	1138
319	534	1136
320	536	1134
321	538	1132
322	539	1130
323	541	1129
324	542	1127
325	544	1125
326	546	1124
327	547	1122
328	549	1120
329	550	1118
330	552	1116
331	554	1114
332	555	1113
333	557	1111
334	558	1109
335	560	1107
336	562	1106
337	564	1104
338	565	1103
339	567	1101
340	568	1099
341	570	1097
342	571	1095
343	573	1093
344	575	1092
345	576	1089
346	578	1088
347	579	1086
348	581	1085
349	583	1083
350	585	1082
351	586	1080
352	588	1077
353	591	1078
354	595	1081
355	597	1080
356	598	1078
357	600	1077
358	602	1075
359	603	1073
360	605	1071
361	606	1069
362	608	1068
363	611	1068
364	613	1067
365	615	1065
366	616	1063
367	618	1061
368	619	1059
369	621	1058
370	623	1056
371	624	1054
372	626	1052
373	627	1051
374	629	1049
375	631	1047
376	632	1045
377	635	1045
378	636	1043
379	638	1041
380	640	1040
381	641	1038
382	643	1036
383	645	1034
384	646	1032
385	648	1030
386	649	1029
387	651	1026
388	652	1024
389	654	1023
390	656	1021
391	657	1020
392	659	1018
393	661	1017
394	664	1017
395	666	1016
396	668	1015
397	669	1013
398	671	1011
399	673	1010
400	676	1010
401	678	1008
402	680	1007
403	682	1006
404	684	1005
405	687	1005
406	689	1004
407	691	1003
408	693	1002
409	696	1002
410	699	1002
411	701	1000
412	703	999
413	706	999
414	708	998
415	710	997
416	717	1003
417	719	1001
418	721	999
419	722	998
420	725	997
421	727	995
422	729	994
423	731	993
424	733	991
425	734	989
426	736	988
427	738	987
428	740	986
429	742	984
430	745	983
431	746	982
432	748	980
433	750	978
434	752	977
435	754	976
436	756	974
437	758	973
438	761	973
439	764	973
440	766	971
441	768	970
442	770	969
443	772	967
444	774	965
445	776	964
446	778	962
447	779	960
448	781	959
449	783	957
450	785	955
451	786	953
452	788	951
453	790	950
454	791	948
455	793	946
456	795	945
457	797	943
458	798	941
459	800	939
460	802	937
461	803	936
462	805	933
463	806	932
464	808	930
465	810	928
466	812	926
467	813	924
468	815	922
469	816	920
470	818	919
471	820	917
472	821	915
473	823	913
474	825	912
475	827	910
476	828	908
477	830	906
478	831	904
479	833	903
480	835	901
481	836	899
482	838	897
483	840	895
484	841	893
485	843	892
486	845	890
487	847	889
488	849	887
489	850	885
490	852	884
491	854	882
492	855	880
493	857	878
494	859	876
495	860	874
496	861	872
497	863	870
498	864	868
499	866	866
500	868	864
501	869	862
502	871	861
503	872	858
504	874	857
505	876	855
506	877	853
507	879	851
508	880	849
509	882	847
510	884	845
511	885	844
512	887	842
513	888	840
514	890	838
515	892	837
516	894	835
517	895	833
518	897	831
519	898	829
520	900	827
521	901	825
522	903	823
523	904	821
524	906	820
525	908	818
526	909	816
527	911	814
528	912	812
529	914	811
530	916	809
531	917	807
532	919	805
533	921	803
534	922	801
535	924	800
536	925	798
537	927	796
538	928	794
539	930	792
540	932	790
541	933	788
542	935	787
543	936	785
544	938	783
545	940	781
546	941	780
547	943	778
548	945	776
549	946	774
550	948	772
551	950	771
552	951	769
553	953	767
554	954	765
555	956	763
556	957	761
557	959	760
558	961	758
559	963	756
560	964	755
561	966	753
562	967	751
563	969	749
564	971	747
565	972	746
566	974	744
567	976	742
568	977	740
569	979	739
570	981	737
571	982	735
572	984	733
573	985	731
574	987	729
575	989	728
576	991	726
577	993	725
578	994	723
579	996	721
580	997	719
581	999	717
582	1001	716
583	1002	714
584	1004	712
585	1006	710
586	1007	709
587	1009	707
588	1011	705
589	1012	703
590	1014	701
591	1015	700
592	1017	698
593	1018	696
594	1020	694
595	1022	692
596	1023	691
597	1025	689
598	1027	687
599	1029	686
600	1030	684
601	1032	682
602	1034	680
603	1035	678
604	1037	677
605	1038	675
606	1040	673
607	1041	671
608	1043	669
609	1044	668
610	1046	666
611	1048	664
612	1049	662
613	1051	661
614	1053	659
615	1054	657
616	1056	655
617	1057	653
618	1059	652
619	1060	650
620	1062	648
621	1063	646
622	1065	644
623	1067	643
624	1068	641
625	1070	639
626	1072	637
627	1074	636
628	1075	634
629	1077	632
630	1078	630
631	1080	629
632	1081	627
633	1083	625
634	1084	623
635	1086	621
636	1088	620
637	1089	618
638	1090	616
639	1092	614
640	1094	612
641	1095	611
642	1097	609
643	1098	607
644	1100	605
645	1102	603
646	1103	602
647	1105	600
648	1106	598
649	1108	596
650	1109	594
651	1111	593
652	1112	591
653	1114	589
654	1115	587
655	1117	585
656	1119	584
657	1120	582
658	1122	580
659	1123	578
660	1125	577
661	1126	575
662	1128	573
663	1130	571
664	1131	570
665	1133	568
666	1134	566
667	1136	564
668	1137	562
669	1139	561
670	1142	559
671	1143	558
672	1145	556
673	1147	554
674	1148	553
675	1150	551
676	1152	549
677	1153	547
678	1155	546
679	1157	544
680	1158	542
681	1160	541
682	1162	539
683	1163	537
684	1165	535
685	1167	534
686	1169	532
687	1170	530
688	1172	529
689	1174	527
690	1175	525
691	1177	524
692	1178	522
693	1180	520
694	1182	518
695	1184	517
696	1185	515
697	1195	517
698	1196	515
699	1198	513
700	1199	511
701	1200	509
702	1202	507
703	1203	506
704	1205	504
705	1206	502
706	1208	500
707	1209	498
708	1210	497
709	1212	495
710	1213	493
711	1215	491
712	1216	489
713	1218	487
714	1219	486
715	1220	484
716	1222	482
717	1223	480
718	1225	478
719	1226	477
720	1228	475
721	1229	473
722	1231	471
723	1232	470
724	1234	468
725	1235	466
726	1237	464
727	1238	462
728	1240	461
729	1241	459
730	1243	457
731	1244	455
732	1246	453
733	1247	452
734	1249	450
735	1250	448
736	1252	446
737	1253	445
738	1254	443
739	1256	441
740	1257	439
741	1259	437
742	1260	436
743	1262	434
744	1263	432
745	1264	430
746	1266	428
747	1267	427
748	1269	425
749	1271	423
750	1272	421
751	1274	420
752	1276	418
753	1279	417
754	1280	415
755	1282	414
756	1284	412
757	1286	410
758	1288	409
759	1290	407
760	1292	405
761	1293	404
762	1295	402
763	1296	400
764	1298	398
765	1299	396
766	1300	395
767	1302	393
768	1303	391
769	1305	389
770	1306	388
771	1308	386
772	1309	384
773	1310	382
774	1312	381
775	1313	379
776	1315	377
777	1316	375
778	1317	373
779	1319	372
780	1320	370
781	1322	368
782	1323	366
783	1325	365
784	1326	363
785	1328	361
786	1329	359
787	1331	358
788	1332	356
789	1334	354
790	1335	352
791	1337	351
792	1338	349
793	1340	347
794	1341	345
795	1343	344
796	1344	342
797	1346	340
798	1347	339
799	1349	337
800	1351	335
801	1352	333
802	1354	332
803	1355	330
804	1357	328
805	1359	327
806	1360	325
807	1362	323
808	1363	321
809	1365	320
810	1366	318
811	1368	316
812	1369	315
813	1371	313
814	1373	311
815	1374	309
816	1376	308
817	1378	306
818	1379	304
819	1381	303
820	1383	301
821	1385	299
822	1386	298
823	1388	296
824	1390	294
825	1392	293
826	1394	291
827	1395	289
828	1397	288
829	1399	286
830	1401	284
831	1402	283
832	1404	281
833	1407	280
834	1409	278
835	1411	276
836	1415	275
837	1417	274
838	1420	272
839	1423	271
840	1425	269
841	1427	267
842	1429	266
843	1431	264
844	1433	262
845	1435	261
846	1437	259
847	1439	258
848	1441	256
849	1443	254
850	1445	253
851	1447	251
852	1449	249
853	1451	248
854	1453	246
855	1455	244
856	1457	243
857	1459	241
858	1461	239
859	1464	238
860	1466	236
861	1468	235
862	1470	233
863	1472	231
864	1473	230
865	1476	228
866	1477	226
867	1479	224
868	1481	223
869	1483	221
870	1484	219
871	1486	218
872	1489	216
873	1490	214
874	1492	213
875	1494	211
876	1496	209
877	1499	208
878	1501	206
879	1503	204
880	1505	203
881	1507	201
882	1509	200
883	1511	198
884	1513	196
885	1515	195
886	1517	193
887	1519	191
888	1521	189
889	1523	188
890	1526	186
891	1528	185
892	1530	183
893	1532	181
894	1534	180
895	1536	178
896	1538	176
897	1539	174
898	1542	173
899	1543	171
900	1545	169
901	1547	168
902	1549	166
903	1550	164
904	1552	162
905	1554	161
906	1555	159
907	1557	157
908	1559	156
909	1560	154
910	1562	152
911	1564	150
912	1565	149
913	1567	147
914	1569	145
915	1570	144
916	1572	142
917	1574	140
918	1575	138
919	1577	137
920	1578	135
921	1580	133
922	1582	131
923	1583	130
924	1585	128
925	1587	126
926	1589	125
927	1590	123
928	1592	121
929	1593	119
930	1595	118
931	1596	116
932	1598	114
933	1600	113
934	1601	111
935	1603	109
936	1604	107
937	1606	106
938	1608	104
939	1609	102
940	1611	101
941	1612	99
942	1614	97
943	1616	95
944	1617	94
945	1619	92
946	1620	90
947	1622	89
948	1624	87
949	1626	85
950	1627	83
951	1629	82
952	1630	80
953	1632	78
954	1634	77
955	1636	75
956	1637	73
957	1639	71
958	1640	70
959	1643	68
960	1645	66
961	1647	65
962	1648	63
963	1650	61
964	1651	59
965	1653	58
966	1654	56
967	1656	54
968	1658	53
969	1659	51
970	1660	49
971	1662	47
972	1664	46
973	1665	44
974	1667	42
975	1669	41
976	1670	39
977	1672	37
978	1673	35
979	1675	34
980	1676	32
981	1678	30
982	1680	29
983	1681	27
984	1683	25
985	1684	23
986	1686	22
987	1688	20
988	1689	18
989	1691	17
990	1692	15
991	1694	13
992	1696	11
993	1697	10
994	1699	8
995	1701	6
996	1702	5
997	1704	3
998	1705	1
999	1707	0
