iter	RMSE
0	34.85321015
1	33.37907427
2	31.94560233
3	30.61869785
4	29.40058842
5	28.33935497
6	27.3109958
7	26.32975606
8	25.45049297
9	24.64553
10	23.92635733
11	23.21283318
12	22.58841588
13	22.02533078
14	21.44430782
15	20.96125563
16	20.53600222
17	20.12611367
18	19.76132428
19	19.42009294
20	19.0834159
21	18.78798122
22	18.49004732
23	18.22137984
24	18.00627894
25	17.79477822
26	17.59558267
27	17.42520948
28	17.26868211
29	17.12467629
30	16.97664248
31	16.83473329
32	16.71761262
33	16.60090434
34	16.49296915
35	16.38622677
36	16.28398528
37	16.1942231
38	16.10813569
39	16.04187298
40	15.98005066
41	15.90999587
42	15.84513079
43	15.7715347
44	15.70957603
45	15.65608075
46	15.60281952
47	15.55090294
48	15.50601838
49	15.46239858
50	15.40039296
51	15.34339092
52	15.2992858
53	15.26051105
54	15.22772366
55	15.18199874
56	15.15334994
57	15.10111839
58	15.06267453
59	15.01109312
60	14.97240221
61	14.93564891
62	14.91133582
63	14.86682386
64	14.83016465
65	14.79614926
66	14.76026601
67	14.72279005
68	14.70177997
69	14.67146944
70	14.64797716
71	14.61817732
72	14.59021144
73	14.56487624
74	14.53890073
75	14.51869798
76	14.47536275
77	14.44790327
78	14.42258564
79	14.40011991
80	14.37376329
81	14.34706996
82	14.31007126
83	14.28526999
84	14.26556214
85	14.24185175
86	14.22371519
87	14.20761816
88	14.18432679
89	14.16042332
90	14.14360621
91	14.13066467
92	14.10104386
93	14.09098384
94	14.06238176
95	14.04370085
96	14.02044833
97	13.9944388
98	13.97430399
99	13.9460672
100	13.93235486
101	13.92447517
102	13.9030363
103	13.89080628
104	13.87966147
105	13.8616732
106	13.84892124
107	13.82761058
108	13.80838158
109	13.79617146
110	13.78173796
111	13.76746364
112	13.75353147
113	13.74607203
114	13.73015857
115	13.71549201
116	13.70449094
117	13.68453335
118	13.67350884
119	13.662655
120	13.64366858
121	13.63026511
122	13.61930245
123	13.60080232
124	13.58903842
125	13.5723718
126	13.55630036
127	13.54566295
128	13.53373866
129	13.5175438
130	13.5044651
131	13.49588366
132	13.48353106
133	13.4662199
134	13.45024571
135	13.43540891
136	13.41789241
137	13.4060781
138	13.38964446
139	13.37432902
140	13.36012863
141	13.34157122
142	13.33544569
143	13.3201093
144	13.30872246
145	13.29328779
146	13.28110182
147	13.26779131
148	13.25067871
149	13.23535879
150	13.22234276
151	13.21109266
152	13.19967822
153	13.19123254
154	13.17227528
155	13.16293441
156	13.15061187
157	13.13795329
158	13.12858387
159	13.11322632
160	13.09986791
161	13.09056759
162	13.07782376
163	13.06524769
164	13.05067658
165	13.03754559
166	13.02675022
167	13.01401098
168	13.00463955
169	12.99653121
170	12.98559548
171	12.97398713
172	12.96238168
173	12.95419016
174	12.94335846
175	12.94001277
176	12.92835081
177	12.9146922
178	12.90249708
179	12.89306946
180	12.88240795
181	12.8772173
182	12.86528046
183	12.85245946
184	12.84065892
185	12.83004991
186	12.81431296
187	12.80436037
188	12.79686164
189	12.78606355
190	12.77596089
191	12.76506554
192	12.75201569
193	12.74107143
194	12.73494378
195	12.72855777
196	12.71811192
197	12.70713098
198	12.69934535
